序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
24,000158,常山北明,2025-02-12,1家机构买入，成功率36.46%,26.57,10.0207,643345601.47,1138339551.76,494993950.29,1633333502.05,8626786836.0,7.457534464458,18.933277628167,20.9214,42188345781.7,日涨幅偏离值达到7%的前5只证券,2.59691381,0.63981935,-6.47346632,3.16146029
25,000158,常山北明,2025-02-10,主力做T，成功率27.04%,24.66,9.9911,-20505688.8100001,633437874.76,653943563.57,1287381438.33,7465981427.0,-0.274654966805,17.243298164047,19.4091,39155611854.6,日涨幅偏离值达到7%的前5只证券,-2.06812652,7.74533658,4.37956204,11.39497161
26,000158,常山北明,2025-02-07,主力做T，成功率41.79%,22.42,10.0098,140758464.96,802195690.72,661437225.76,1463632916.48,6169645899.0,2.28146748232,23.72312674731,17.8749,35598897720.2,日涨幅偏离值达到7%的前5只证券,9.99107939,7.71632471,19.26851026,11.37377342
27,000158,常山北明,2025-02-07,主力做T，成功率10.20%,22.42,10.0098,-107117934.83,1474775504.83,1581893439.66,3056668944.49,14217165153.0,-0.753440884151,21.499848328378,17.8749,35598897720.2,连续三个交易日内，涨幅偏离值累计达到20%的证券,9.99107939,7.71632471,19.26851026,11.37377342
28,000421,南京公用,2025-01-15,主力做T，成功率35.85%,7.35,-6.25,-13886459.75,61233815.78,75120275.53,136354091.31,1013727711.0,-1.369841191014,13.450760971651,21.7724,4220828889.9,日振幅值达到15%的前5只证券,-3.26530612,-11.42857143,-13.60544218,-15.37414966
29,000488,ST晨鸣,2025-02-25,2家机构卖出，成功率44.85%,2.13,-4.9107,-722491.0,3014665.0,3737156.0,6751821.0,9940734.0,-7.267984436562,67.920749111685,0.0668,4042784377.12,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,-5.16431925,,,
30,000506,*ST中润,2025-02-26,1家机构买入，成功率55.68%,6.24,5.0505,-3102842.97999999,74544736.79,77647579.77,152192316.56,779223339.0,-0.398196874337,19.531283130625,4.0849,5794906796.64,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,,,,
31,000506,*ST中润,2025-02-20,1家机构买入，成功率42.77%,5.47,4.9904,-5444515.86,52760716.0,58205231.86,110965947.86,524306911.0,-1.03842153246,21.164311499987,3.4066,5079830156.67,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,-0.54844607,4.38756856,,
32,000506,*ST中润,2025-01-13,1家机构买入，成功率18.04%,4.05,4.1131,-3930588.34,38268217.02,42198805.36,80467022.38,416859417.0,-0.942905012987,19.303155715923,4.9153,3761117392.05,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,0.24691358,4.69135802,-0.49382716,-3.45679012
33,000532,华金资本,2025-02-10,2家机构买入，成功率34.91%,18.98,2.5392,68838542.04,189428483.94,120589941.9,310018425.84,1668492221.0,4.125793406381,18.580753445419,26.1845,6520574179.08,日振幅值达到15%的前5只证券,-6.42781876,-3.1085353,-9.64172813,-13.17175975
34,000532,华金资本,2025-02-05,浙江资金买入，成功率40.00%,16.08,9.9863,69709454.08,95743886.08,26034432.0,121778318.08,161183418.0,43.248527016594,75.552634130144,1.2972,5524279915.68,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.01243781,15.1119403,14.36567164,4.47761194
35,000533,顺钠股份,2025-01-23,西藏自治区资金买入，成功率10.09%,7.08,7.2727,48715111.23,251323636.07,202608524.84,453932160.91,3325244858.0,1.465008241808,13.651089778183,27.0522,4849108992.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,-6.07344633,-15.39548023,-12.71186441,-13.84180791
36,000533,顺钠股份,2025-01-14,主力做T，成功率22.32%,6.42,2.8846,-13422949.7,85843678.05,99266627.75,185110305.8,1287181553.0,-1.042817127756,14.381056453813,30.995,4397073408.0,日振幅值达到15%的前5只证券,-8.25545171,-6.69781931,-0.31152648,-5.60747664
37,000533,顺钠股份,2025-01-13,西藏自治区资金卖出，成功率31.17%,6.24,-9.9567,-40776541.23,239250108.49,280026649.72,519276758.21,3765445364.0,-1.08291416521,13.790580077847,4.3999,4273790976.0,连续三个交易日内，跌幅偏离值累计达到20%的证券,2.88461538,-5.60897436,-4.80769231,-4.00641026
38,000533,顺钠股份,2025-01-09,2家机构卖出，成功率32.50%,7.7,-6.0976,-68601385.94,153520050.26,222121436.2,375641486.46,2368876148.0,-2.895946501801,15.857371301457,41.4723,5273748480.0,日振幅值达到15%的前5只证券,-10.0,-18.96103896,-22.20779221,-8.05194805
39,000533,顺钠股份,2025-01-09,2家机构卖出，成功率32.50%,7.7,-6.0976,-68601385.94,153520050.26,222121436.2,375641486.46,2368876148.0,-2.895946501801,15.857371301457,41.4723,5273748480.0,日换手率达到20%的前5只证券,-10.0,-18.96103896,-22.20779221,-8.05194805
40,000533,顺钠股份,2025-01-08,2家机构买入，成功率40.02%,8.2,10.0671,-75363465.4,166320229.46,241683694.86,408003924.32,1921887165.0,-3.921326224165,21.229338108411,36.3917,5616199680.0,日换手率达到20%的前5只证券,-6.09756098,-15.48780488,-28.17073171,-19.51219512
41,000533,顺钠股份,2025-01-08,主力做T，成功率10.70%,8.2,10.0671,0.0,9338731882.57,9338731882.57,18677463765.14,9338731882.57,0.0,200.0,36.3917,5616199680.0,严重异常期间日收盘价格涨幅偏离值累计达到100%的证券,-6.09756098,-15.48780488,-28.17073171,-19.51219512
42,000533,顺钠股份,2025-01-07,买一主买，成功率44.71%,7.45,10.0443,98270930.45,201544405.45,103273475.0,304817880.45,1562824842.0,6.288032273933,19.504289428873,33.366,5102522880.0,日振幅值达到15%的前5只证券,10.06711409,3.3557047,-13.82550336,-14.09395973
43,000533,顺钠股份,2025-01-07,买一主买，成功率44.71%,7.45,10.0443,98270930.45,201544405.45,103273475.0,304817880.45,1562824842.0,6.288032273933,19.504289428873,33.366,5102522880.0,日换手率达到20%的前5只证券,10.06711409,3.3557047,-13.82550336,-14.09395973
44,000533,顺钠股份,2025-01-06,主力做T，成功率19.49%,6.77,-7.7657,-76656946.31,141506503.41,218163449.72,359669953.13,2262480889.0,-3.388180942553,15.897148783828,42.9557,4636789248.0,日振幅值达到15%的前5只证券,10.04431315,21.1225997,-7.82865583,-12.25997046
45,000533,顺钠股份,2025-01-06,主力做T，成功率19.49%,6.77,-7.7657,-76656946.31,141506503.41,218163449.72,359669953.13,2262480889.0,-3.388180942553,15.897148783828,42.9557,4636789248.0,日换手率达到20%的前5只证券,10.04431315,21.1225997,-7.82865583,-12.25997046
46,000533,顺钠股份,2025-01-03,1家机构买入，成功率32.32%,7.34,10.045,-169957.920000002,131517020.14,131686978.06,263203998.2,1713402308.0,-0.009919323629,15.361482646024,35.0546,5027183616.0,日涨幅偏离值达到7%的前5只证券,-7.76566757,1.4986376,-5.58583106,-21.79836512
47,000533,顺钠股份,2025-01-02,普通席位买入，成功率37.83%,6.67,10.066,59256622.73,150874224.26,91617601.53,242491825.79,1613299253.0,3.673008750225,15.030802582911,29.259,4568299008.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.04497751,1.49925037,15.44227886,-10.19490255
48,000536,华映科技,2025-02-10,2家机构买入，成功率13.33%,5.39,10.0,-110325878.89,354443163.1,464769041.99,819212205.09,3055462352.0,-3.610775266721,26.81139908511,12.5109,14893014761.24,连续三个交易日内，涨幅偏离值累计达到20%的证券,-5.00927644,-3.15398887,-2.41187384,0.55658627
49,000564,供销大集,2025-01-03,主力做T，成功率12.83%,3.18,-9.915,-33928261.52,188923667.84,222851929.36,411775597.2,2383219967.0,-1.423631137276,17.278119640729,4.9859,46793797727.76,日跌幅偏离值达到7%的前5只证券,-9.43396226,-6.91823899,-10.37735849,-10.6918239
50,000573,粤宏远A,2025-02-25,3家机构买入，成功率32.60%,4.88,9.9099,27302186.08,178143347.08,150841161.0,328984508.08,1177601986.0,2.318456185076,27.936816682644,21.2066,3088868316.72,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.04098361,,,
51,000573,粤宏远A,2025-02-06,1家机构卖出，成功率19.05%,4.4,-8.7137,-112062371.88,84006764.52,196069136.4,280075900.92,1043308756.0,-10.741055438818,26.844967926254,34.8093,2785045203.6,日振幅值达到15%的前5只证券,-1.13636364,-2.5,-5.22727273,-6.36363636
52,000573,粤宏远A,2025-02-06,1家机构卖出，成功率19.05%,4.4,-8.7137,-112062371.88,84006764.52,196069136.4,280075900.92,1043308756.0,-10.741055438818,26.844967926254,34.8093,2785045203.6,日跌幅偏离值达到7%的前5只证券,-1.13636364,-2.5,-5.22727273,-6.36363636
53,000573,粤宏远A,2025-02-06,1家机构卖出，成功率14.57%,4.4,-8.7137,-105396965.28,121126347.44,226523312.72,347649660.16,1355407556.0,-7.776034950775,25.64908677254,34.8093,2785045203.6,连续三个交易日内，跌幅偏离值累计达到20%的证券,-1.13636364,-2.5,-5.22727273,-6.36363636
54,000573,粤宏远A,2025-02-06,1家机构卖出，成功率19.05%,4.4,-8.7137,-112062371.88,84006764.52,196069136.4,280075900.92,1043308756.0,-10.741055438818,26.844967926254,34.8093,2785045203.6,日换手率达到20%的前5只证券,-1.13636364,-2.5,-5.22727273,-6.36363636
55,000573,粤宏远A,2025-01-27,2家机构买入，成功率29.01%,5.35,0.3752,-18507323.13,87593665.76,106100988.89,193694654.65,820746803.0,-2.254936974759,23.599806169455,23.1689,3386361781.65,日振幅值达到15%的前5只证券,-9.90654206,-17.75700935,-19.25233645,-24.29906542
56,000573,粤宏远A,2025-01-15,1家机构卖出，成功率27.49%,4.56,-5.1975,-53123395.01,209449041.15,262572436.16,472021477.31,2012424274.0,-2.639771130588,23.455365919026,25.4235,2886319574.64,连续三个交易日内，跌幅偏离值累计达到20%的证券,-3.28947368,-3.94736842,1.97368421,-3.50877193
57,000573,粤宏远A,2025-01-14,1家机构卖出，成功率35.96%,4.81,-3.4137,65115640.1,180802079.0,115686438.9,296488517.9,1065251368.0,6.112701851982,27.832728199791,34.8271,3044560779.39,日振幅值达到15%的前5只证券,-5.1975052,-8.31600832,-4.57380457,0.20790021
58,000573,粤宏远A,2025-01-14,1家机构卖出，成功率35.96%,4.81,-3.4137,65115640.1,180802079.0,115686438.9,296488517.9,1065251368.0,6.112701851982,27.832728199791,34.8271,3044560779.39,日换手率达到20%的前5只证券,-5.1975052,-8.31600832,-4.57380457,0.20790021
59,000573,粤宏远A,2025-01-14,1家机构卖出，成功率35.96%,4.81,-3.4137,65115640.1,180802079.0,115686438.9,296488517.9,1065251368.0,6.112701851982,27.832728199791,34.8271,3044560779.39,日跌幅偏离值达到7%的前5只证券,-5.1975052,-8.31600832,-4.57380457,0.20790021
60,000573,粤宏远A,2025-01-10,1家机构买入，成功率34.31%,5.53,9.9404,29428977.82,199593509.39,170164531.57,369758040.96,1370800682.0,2.146845869457,26.97387343144,41.8687,3500295449.07,日换手率达到20%的前5只证券,-9.94575045,-13.0198915,-20.79566004,-3.61663653
61,000573,粤宏远A,2025-01-10,主力做T，成功率15.10%,5.53,9.9404,0.0,3582598303.89,3582598303.89,7165196607.78,3582598303.89,0.0,200.0,41.8687,3500295449.07,严重异常期间日收盘价格涨幅偏离值累计达到100%的证券,-9.94575045,-13.0198915,-20.79566004,-3.61663653
62,000573,粤宏远A,2025-01-10,3家机构买入，成功率41.56%,5.53,9.9404,-23122787.42,257476897.73,280599685.15,538076582.88,2539970354.0,-0.910356586784,21.184364692786,41.8687,3500295449.07,连续三个交易日内，涨幅偏离值累计达到20%的证券,-9.94575045,-13.0198915,-20.79566004,-3.61663653
63,000573,粤宏远A,2025-01-10,1家机构买入，成功率34.31%,5.53,9.9404,29428977.82,199593509.39,170164531.57,369758040.96,1370800682.0,2.146845869457,26.97387343144,41.8687,3500295449.07,日涨幅偏离值达到7%的前5只证券,-9.94575045,-13.0198915,-20.79566004,-3.61663653
64,000573,粤宏远A,2025-01-10,1家机构买入，成功率34.31%,5.53,9.9404,29428977.82,199593509.39,170164531.57,369758040.96,1370800682.0,2.146845869457,26.97387343144,41.8687,3500295449.07,日振幅值达到15%的前5只证券,-9.94575045,-13.0198915,-20.79566004,-3.61663653
65,000573,粤宏远A,2025-01-09,2家机构买入，成功率37.19%,5.03,10.0656,-17837336.05,154425085.17,172262421.22,326687506.39,1169169672.0,-1.52564135704,27.94183891472,37.1923,3183813039.57,日换手率达到20%的前5只证券,9.94035785,-0.99403579,-12.32604374,1.78926441
66,000573,粤宏远A,2025-01-08,普通席位买入，成功率48.16%,4.57,10.1205,81014348.43,168208397.53,87194049.1,255402446.63,649658611.0,12.470295484162,39.31333200323,9.0495,2892649222.83,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.06564551,21.00656455,-0.21881838,1.75054705
67,000573,粤宏远A,2025-01-03,3家机构买入，成功率31.05%,3.43,9.9359,10362068.22,41259665.0,30897596.78,72157261.78,267631599.0,3.871765613148,26.961413394238,2.1501,2171069329.17,连续三个交易日内，涨幅偏离值累计达到20%的证券,9.91253644,20.99125364,61.2244898,27.696793
68,000584,*ST工智,2025-02-11,主力做T，成功率21.93%,2.91,5.0542,-9766329.68,25567272.0,35333601.68,60900873.68,253809416.0,-3.847898881734,23.994725900949,7.9872,2208296332.29,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,5.15463918,2.06185567,-4.81099656,0.0
69,000584,*ST工智,2025-02-05,主力做T，成功率54.13%,2.64,-5.036,-4936303.27,10941862.0,15878165.27,26820027.27,37915884.0,-13.019090547909,70.735597962057,0.7831,2003402858.16,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,-4.92424242,0.0,15.90909091,10.22727273
70,000584,*ST工智,2025-01-23,上海资金卖出，成功率41.97%,3.08,-4.9383,-12507953.76,18360378.55,30868332.31,49228710.86,178393002.0,-7.011459877782,27.595651347355,0.589,2337303334.52,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,-4.87012987,-9.74025974,-14.28571429,-8.44155844
71,000586,汇源通信,2025-01-24,3家机构卖出，成功率35.33%,10.23,-10.0264,-35043315.17,15467720.0,50511035.17,65978755.17,255277603.0,-13.727532207359,25.845884791546,12.7851,1978891200.0,日跌幅偏离值达到7%的前5只证券,-9.97067449,-7.52688172,-0.58651026,0.97751711
72,000586,汇源通信,2025-01-23,普通席位买入，成功率44.71%,11.37,9.9613,23651434.28,39754127.28,16102693.0,55856820.28,111274459.0,21.255043154153,50.19734158402,2.3922,2199412800.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,-10.02638522,-18.99736148,-13.19261214,-11.69744943
73,000592,平潭发展,2025-01-03,西藏自治区资金买入，成功率38.96%,3.04,1.6722,4691875.0,58146054.0,53454179.0,111600233.0,858293866.0,0.546651349364,13.002566768897,15.0439,5821881044.96,日振幅值达到15%的前5只证券,-3.61842105,-5.92105263,-6.25,0.98684211
74,000592,平潭发展,2025-01-03,1家机构买入，成功率14.81%,3.04,1.6722,11299664.9,143443080.0,132143415.1,275586495.1,2416504559.0,0.467603707095,11.404344099977,15.0439,5821881044.96,连续三个交易日内，涨幅偏离值累计达到20%的证券,-3.61842105,-5.92105263,-6.25,0.98684211
75,000607,华媒控股,2025-01-16,1家机构买入，成功率46.15%,4.18,10.0,25727249.4,85993155.0,60265905.6,146259060.6,411306254.0,6.255010506113,35.559649088146,4.3484,3635758030.96,连续三个交易日内，涨幅偏离值累计达到20%的证券,-5.50239234,-6.69856459,-11.00478469,-5.50239234
76,000609,*ST中迪,2025-02-20,普通席位买入，成功率69.34%,2.76,4.943,1876815.74,20745708.84,18868893.1,39614601.94,97428155.0,1.926358699906,40.660322408856,3.1852,803393280.72,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,-2.53623188,-2.89855072,,
77,000619,海螺新材,2025-01-03,2家机构买入，成功率12.26%,6.99,3.2496,3268419.74,52433463.0,49165043.26,101598506.26,578731483.0,0.564755821311,17.555379177462,13.4029,2516400000.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,-2.14592275,-2.71816881,-9.15593705,-8.01144492
78,000622,*ST恒立,2025-02-25,1家机构买入，成功率36.76%,2.45,5.1502,3309759.0,14804396.0,11494637.0,26299033.0,68320162.0,4.844483536207,38.493809484819,2.152,1041803700.0,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,4.89795918,,,
79,000627,天茂集团,2025-01-23,主力做T，成功率8.69%,4.33,9.8985,35658864.17,247182338.3,211523474.13,458705812.43,2256645598.0,1.580171215259,20.326887519978,6.0083,19712343034.45,连续三个交易日内，涨幅偏离值累计达到20%的证券,-2.77136259,-12.47113164,-8.31408776,-5.54272517
80,000627,天茂集团,2025-01-22,主力做T，成功率41.36%,3.94,10.0559,88329006.3,200754882.3,112425876.0,313180758.3,1073618684.0,8.22722327921,29.170576385014,6.2425,17936866410.1,日涨幅偏离值达到7%的前5只证券,9.89847716,6.85279188,-1.52284264,3.55329949
81,000628,高新发展,2025-01-02,广东资金卖出，成功率27.01%,56.09,-9.9534,-69848816.67,91325332.0,161174148.67,252499480.67,1272948551.0,-5.487167302648,19.8357962285,11.4295,10774008947.9,日跌幅偏离值达到7%的前5只证券,-8.3259048,-10.05526832,-10.30486718,-8.55767516
82,000668,荣丰控股,2025-01-27,1家机构买入，成功率36.80%,6.11,10.0901,15617022.0,30400185.0,14783163.0,45183348.0,89923901.0,17.366931178842,50.24620539983,10.6414,897203947.9,日振幅值达到15%的前5只证券,-3.60065466,-3.27332242,0.49099836,-4.90998363
83,000668,荣丰控股,2025-01-09,3家机构买入，成功率26.19%,7.39,9.9702,-2129493.36,31249941.92,33379435.28,64629377.2,207693182.0,-1.025307301614,31.117717287417,7.6272,1085161567.1,连续三个交易日内，涨幅偏离值累计达到20%的证券,-4.19485792,-5.0067659,-3.92422192,-16.50879567
84,000669,ST金鸿,2025-01-07,1家机构买入，成功率35.67%,2.23,5.1887,-4036454.42,15172305.58,19208760.0,34381065.58,152638463.0,-2.644454314245,22.524509815065,3.7523,1517311617.31,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,1.34529148,-1.34529148,1.34529148,-4.93273543
85,000679,大连友谊,2025-01-17,主力做T，成功率48.89%,6.57,-1.203,20977134.66,49878026.6,28900891.94,78778918.54,295472246.0,7.099527940096,26.662036657074,12.8694,2341548000.0,日振幅值达到15%的前5只证券,-3.50076104,-5.78386606,-8.82800609,-3.50076104
86,000679,大连友谊,2025-01-15,1家机构买入，成功率29.51%,6.5,5.178,30466403.36,114783477.36,84317074.0,199100551.36,913792333.0,3.334062046677,21.788380594784,17.6506,2316600000.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,2.30769231,1.07692308,-1.69230769,-0.46153846
87,000679,大连友谊,2025-01-13,普通席位买入，成功率36.96%,5.62,9.9804,39708220.4,60014112.0,20305891.6,80320003.6,202139179.0,19.644000038211,39.735000407813,10.7685,2002968000.0,日振幅值达到15%的前5只证券,9.96441281,15.65836299,12.8113879,9.78647687
88,000681,视觉中国,2025-02-14,主力做T，成功率38.98%,27.52,-9.9771,-408556201.5,422620666.66,831176868.16,1253797534.82,5951483399.0,-6.864779318189,21.066975252433,31.11,18607841823.36,日跌幅偏离值达到7%的前5只证券,-5.34156977,-11.26453488,-5.88662791,
89,000681,视觉中国,2025-02-13,西藏自治区资金买入，成功率24.74%,30.57,10.0036,3442649.25,582472397.15,579029747.9,1161502145.05,7503125212.0,0.04588287084,15.480244727789,36.7523,20670120804.51,日涨幅偏离值达到7%的前5只证券,-9.97710173,-14.78573765,-16.94471704,
90,000681,视觉中国,2025-02-13,普通席位买入，成功率39.11%,30.57,10.0036,541061303.25,1296360833.25,755299530.0,2051660363.25,12008323312.0,4.505718985009,17.08531915692,36.7523,20670120804.51,连续三个交易日内，涨幅偏离值累计达到20%的证券,-9.97710173,-14.78573765,-16.94471704,
91,000681,视觉中国,2025-02-12,普通席位买入，成功率43.66%,27.79,10.0158,610416242.25,873825170.25,263408928.0,1137234098.25,4505198101.0,13.549154300551,25.242710148474,24.6218,18790404224.97,日涨幅偏离值达到7%的前5只证券,10.00359842,-0.97157251,-9.06801008,-10.14753508
92,000681,视觉中国,2025-02-06,2家机构买入，成功率38.21%,25.6,0.9862,-249149100.58,492738936.94,741888037.52,1234626974.46,5646671960.0,-4.41231759778,21.864683891784,33.2119,17309620300.8,日换手率达到20%的前5只证券,3.5546875,3.5546875,19.4140625,-0.8203125
93,000681,视觉中国,2025-02-05,主力做T，成功率29.76%,25.35,4.8387,-107004459.83,514320989.74,621325449.57,1135646439.31,6216066372.0,-1.721417588332,18.269535287227,36.3728,17140581040.05,日换手率达到20%的前5只证券,0.98619329,4.57593688,9.62524655,-0.31558185
