序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
22,000573,粤宏远A,2025-01-27,2家机构买入，成功率29.01%,5.35,0.3752,-18507323.13,87593665.76,106100988.89,193694654.65,820746803.0,-2.254936974759,23.599806169455,23.1689,3386361781.65,日振幅值达到15%的前5只证券,-9.90654206,-17.75700935,-19.25233645,-24.29906542
23,000573,粤宏远A,2025-01-15,1家机构卖出，成功率27.49%,4.56,-5.1975,-53123395.01,209449041.15,262572436.16,472021477.31,2012424274.0,-2.639771130588,23.455365919026,25.4235,2886319574.64,连续三个交易日内，跌幅偏离值累计达到20%的证券,-3.28947368,-3.94736842,1.97368421,-3.50877193
24,000573,粤宏远A,2025-01-14,1家机构卖出，成功率35.96%,4.81,-3.4137,65115640.1,180802079.0,115686438.9,296488517.9,1065251368.0,6.112701851982,27.832728199791,34.8271,3044560779.39,日换手率达到20%的前5只证券,-5.1975052,-8.31600832,-4.57380457,0.20790021
25,000573,粤宏远A,2025-01-14,1家机构卖出，成功率35.96%,4.81,-3.4137,65115640.1,180802079.0,115686438.9,296488517.9,1065251368.0,6.112701851982,27.832728199791,34.8271,3044560779.39,日振幅值达到15%的前5只证券,-5.1975052,-8.31600832,-4.57380457,0.20790021
26,000573,粤宏远A,2025-01-14,1家机构卖出，成功率35.96%,4.81,-3.4137,65115640.1,180802079.0,115686438.9,296488517.9,1065251368.0,6.112701851982,27.832728199791,34.8271,3044560779.39,日跌幅偏离值达到7%的前5只证券,-5.1975052,-8.31600832,-4.57380457,0.20790021
27,000573,粤宏远A,2025-01-10,1家机构买入，成功率34.31%,5.53,9.9404,29428977.82,199593509.39,170164531.57,369758040.96,1370800682.0,2.146845869457,26.97387343144,41.8687,3500295449.07,日涨幅偏离值达到7%的前5只证券,-9.94575045,-13.0198915,-20.79566004,-3.61663653
28,000573,粤宏远A,2025-01-10,1家机构买入，成功率34.31%,5.53,9.9404,29428977.82,199593509.39,170164531.57,369758040.96,1370800682.0,2.146845869457,26.97387343144,41.8687,3500295449.07,日振幅值达到15%的前5只证券,-9.94575045,-13.0198915,-20.79566004,-3.61663653
29,000573,粤宏远A,2025-01-10,1家机构买入，成功率34.31%,5.53,9.9404,29428977.82,199593509.39,170164531.57,369758040.96,1370800682.0,2.146845869457,26.97387343144,41.8687,3500295449.07,日换手率达到20%的前5只证券,-9.94575045,-13.0198915,-20.79566004,-3.61663653
30,000573,粤宏远A,2025-01-10,主力做T，成功率15.10%,5.53,9.9404,0.0,3582598303.89,3582598303.89,7165196607.78,3582598303.89,0.0,200.0,41.8687,3500295449.07,严重异常期间日收盘价格涨幅偏离值累计达到100%的证券,-9.94575045,-13.0198915,-20.79566004,-3.61663653
31,000573,粤宏远A,2025-01-10,3家机构买入，成功率41.56%,5.53,9.9404,-23122787.42,257476897.73,280599685.15,538076582.88,2539970354.0,-0.910356586784,21.184364692786,41.8687,3500295449.07,连续三个交易日内，涨幅偏离值累计达到20%的证券,-9.94575045,-13.0198915,-20.79566004,-3.61663653
32,000573,粤宏远A,2025-01-09,2家机构买入，成功率37.19%,5.03,10.0656,-17837336.05,154425085.17,172262421.22,326687506.39,1169169672.0,-1.52564135704,27.94183891472,37.1923,3183813039.57,日换手率达到20%的前5只证券,9.94035785,-0.99403579,-12.32604374,1.78926441
33,000573,粤宏远A,2025-01-08,普通席位买入，成功率48.16%,4.57,10.1205,81014348.43,168208397.53,87194049.1,255402446.63,649658611.0,12.470295484162,39.31333200323,9.0495,2892649222.83,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.06564551,21.00656455,-0.21881838,1.75054705
34,000573,粤宏远A,2025-01-03,3家机构买入，成功率31.05%,3.43,9.9359,10362068.22,41259665.0,30897596.78,72157261.78,267631599.0,3.871765613148,26.961413394238,2.1501,2171069329.17,连续三个交易日内，涨幅偏离值累计达到20%的证券,9.91253644,20.99125364,61.2244898,27.696793
35,000584,*ST工智,2025-01-23,上海资金卖出，成功率41.97%,3.08,-4.9383,-12507953.76,18360378.55,30868332.31,49228710.86,178393002.0,-7.011459877782,27.595651347355,0.589,2337303334.52,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,-4.87012987,-9.74025974,-14.28571429,-8.44155844
36,000586,汇源通信,2025-01-24,3家机构卖出，成功率35.33%,10.23,-10.0264,-35043315.17,15467720.0,50511035.17,65978755.17,255277603.0,-13.727532207359,25.845884791546,12.7851,1978891200.0,日跌幅偏离值达到7%的前5只证券,-9.97067449,-7.52688172,-0.58651026,0.97751711
37,000586,汇源通信,2025-01-23,普通席位买入，成功率44.71%,11.37,9.9613,23651434.28,39754127.28,16102693.0,55856820.28,111274459.0,21.255043154153,50.19734158402,2.3922,2199412800.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,-10.02638522,-18.99736148,-13.19261214,-11.69744943
38,000592,平潭发展,2025-01-03,西藏自治区资金买入，成功率38.96%,3.04,1.6722,4691875.0,58146054.0,53454179.0,111600233.0,858293866.0,0.546651349364,13.002566768897,15.0439,5821881044.96,日振幅值达到15%的前5只证券,-3.61842105,-5.92105263,-6.25,0.98684211
39,000592,平潭发展,2025-01-03,1家机构买入，成功率14.81%,3.04,1.6722,11299664.9,143443080.0,132143415.1,275586495.1,2416504559.0,0.467603707095,11.404344099977,15.0439,5821881044.96,连续三个交易日内，涨幅偏离值累计达到20%的证券,-3.61842105,-5.92105263,-6.25,0.98684211
40,000607,华媒控股,2025-01-16,1家机构买入，成功率46.15%,4.18,10.0,25727249.4,85993155.0,60265905.6,146259060.6,411306254.0,6.255010506113,35.559649088146,4.3484,3635758030.96,连续三个交易日内，涨幅偏离值累计达到20%的证券,-5.50239234,-6.69856459,-11.00478469,-5.50239234
41,000619,海螺新材,2025-01-03,2家机构买入，成功率12.26%,6.99,3.2496,3268419.74,52433463.0,49165043.26,101598506.26,578731483.0,0.564755821311,17.555379177462,13.4029,2516400000.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,-2.14592275,-2.71816881,-9.15593705,-8.01144492
42,000627,天茂集团,2025-01-23,主力做T，成功率8.69%,4.33,9.8985,35658864.17,247182338.3,211523474.13,458705812.43,2256645598.0,1.580171215259,20.326887519978,6.0083,19712343034.45,连续三个交易日内，涨幅偏离值累计达到20%的证券,-2.77136259,-12.47113164,-8.31408776,-5.54272517
43,000627,天茂集团,2025-01-22,主力做T，成功率41.36%,3.94,10.0559,88329006.3,200754882.3,112425876.0,313180758.3,1073618684.0,8.22722327921,29.170576385014,6.2425,17936866410.1,日涨幅偏离值达到7%的前5只证券,9.89847716,6.85279188,-1.52284264,3.55329949
44,000628,高新发展,2025-01-02,广东资金卖出，成功率27.01%,56.09,-9.9534,-69848816.67,91325332.0,161174148.67,252499480.67,1272948551.0,-5.487167302648,19.8357962285,11.4295,10774008947.9,日跌幅偏离值达到7%的前5只证券,-8.3259048,-10.05526832,-10.30486718,-8.55767516
45,000668,荣丰控股,2025-01-27,1家机构买入，成功率36.80%,6.11,10.0901,15617022.0,30400185.0,14783163.0,45183348.0,89923901.0,17.366931178842,50.24620539983,10.6414,897203947.9,日振幅值达到15%的前5只证券,-3.60065466,-3.27332242,0.49099836,-4.90998363
46,000668,荣丰控股,2025-01-09,3家机构买入，成功率26.19%,7.39,9.9702,-2129493.36,31249941.92,33379435.28,64629377.2,207693182.0,-1.025307301614,31.117717287417,7.6272,1085161567.1,连续三个交易日内，涨幅偏离值累计达到20%的证券,-4.19485792,-5.0067659,-3.92422192,-16.50879567
47,000669,ST金鸿,2025-01-07,1家机构买入，成功率35.67%,2.23,5.1887,-4036454.42,15172305.58,19208760.0,34381065.58,152638463.0,-2.644454314245,22.524509815065,3.7523,1517311617.31,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,1.34529148,-1.34529148,1.34529148,-4.93273543
48,000679,大连友谊,2025-01-17,主力做T，成功率48.89%,6.57,-1.203,20977134.66,49878026.6,28900891.94,78778918.54,295472246.0,7.099527940096,26.662036657074,12.8694,2341548000.0,日振幅值达到15%的前5只证券,-3.50076104,-5.78386606,-8.82800609,-3.50076104
49,000679,大连友谊,2025-01-15,1家机构买入，成功率29.51%,6.5,5.178,30466403.36,114783477.36,84317074.0,199100551.36,913792333.0,3.334062046677,21.788380594784,17.6506,2316600000.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,2.30769231,1.07692308,-1.69230769,-0.46153846
50,000679,大连友谊,2025-01-13,普通席位买入，成功率36.96%,5.62,9.9804,39708220.4,60014112.0,20305891.6,80320003.6,202139179.0,19.644000038211,39.735000407813,10.7685,2002968000.0,日振幅值达到15%的前5只证券,9.96441281,15.65836299,12.8113879,9.78647687
51,000681,视觉中国,2025-01-27,1家机构买入，成功率22.73%,24.18,9.9591,143426346.58,917025411.17,773599064.59,1690624475.76,7261380548.0,1.975193912947,23.282411169397,24.8914,16349477299.74,连续三个交易日内，涨幅偏离值累计达到20%的证券,4.83870968,5.872622,4.46650124,0.99255583
52,000681,视觉中国,2025-01-24,1家机构买入，成功率51.44%,21.99,10.005,375112825.36,622105544.0,246992718.64,869098262.64,3236820160.0,11.588930086249,26.850372269061,22.315,14868693375.57,日涨幅偏离值达到7%的前5只证券,9.95907231,15.27967258,20.55479764,18.4629377
53,000711,*ST京蓝,2025-01-24,西藏自治区资金买入，成功率23.08%,1.72,4.878,-22791799.21,27901583.08,50693382.29,78594965.37,271057448.0,-8.408475538366,28.99568558249,3.4203,3930594476.84,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,-0.58139535,0.0,-1.74418605,0.0
54,000716,黑芝麻,2025-01-07,1家机构买入，成功率23.50%,6.96,0.8696,5891572.3,63672381.0,57780808.7,121453189.7,829640370.0,0.710135682043,14.639257453202,17.9701,4876814482.56,日振幅值达到15%的前5只证券,5.60344828,4.45402299,5.17241379,12.35632184
55,000716,黑芝麻,2025-01-03,3家机构买入，成功率43.21%,7.66,1.1889,41328941.81,250234947.58,208906005.77,459140953.35,2777705547.0,1.487880594638,16.529504138619,25.9861,5367298697.76,连续三个交易日内，涨幅偏离值累计达到20%的证券,-9.92167102,-9.1383812,-12.01044386,-1.82767624
56,000736,中交地产,2025-01-24,浙江资金卖出，成功率6.67%,7.0,-10.0257,-192816323.61,48308912.22,241125235.83,289434148.05,514565258.0,-37.471694913767,56.248287957676,9.9793,5048862315.0,日跌幅偏离值达到7%的前5只证券,-10.0,-9.28571429,-2.57142857,-1.85714286
57,000737,北方铜业,2025-01-13,普通席位买入，成功率46.52%,9.49,9.9652,199748841.9,254347746.9,54598905.0,308946651.9,991752060.0,20.14100599902,31.151601731989,6.1015,16818834632.08,日涨幅偏离值达到7%的前5只证券,2.63435195,-0.9483667,-0.84299262,-4.53108535
58,000756,新华制药,2025-01-06,主力做T，成功率30.22%,18.43,10.0299,88136236.74,248651050.19,160514813.45,409165863.64,2465494291.0,3.574789731282,16.595693007021,21.5606,8270911473.23,连续三个交易日内，涨幅偏离值累计达到20%的证券,-5.48019533,-6.67390125,-18.77373847,-17.30873576
59,000756,新华制药,2025-01-06,普通席位买入，成功率39.85%,18.43,10.0299,15672569.8,169529489.25,153856919.45,323386408.7,1746293577.0,0.897476232314,18.518444605148,21.5606,8270911473.23,日涨幅偏离值达到7%的前5只证券,-5.48019533,-6.67390125,-18.77373847,-17.30873576
60,000759,中百集团,2025-01-22,1家机构卖出，成功率26.43%,9.17,-10.0098,-102089375.34,107354872.0,209444247.34,316799119.34,1307010225.0,-7.810908697367,24.238457609618,21.0838,6012824249.25,日跌幅偏离值达到7%的前5只证券,-6.76117775,-5.88876772,-11.45038168,-4.79825518
61,000759,中百集团,2025-01-16,1家机构买入，成功率41.23%,10.6,9.9585,61619570.44,266066178.59,204446608.15,470512786.74,2615665427.0,2.355789460071,17.988263402619,38.8475,6950483865.0,日涨幅偏离值达到7%的前5只证券,-6.60377358,-4.90566038,-19.33962264,-23.11320755
62,000759,中百集团,2025-01-13,普通席位买入，成功率32.88%,9.16,3.1532,50615023.32,169307875.32,118692852.0,288000727.32,1577790021.0,3.207969542609,18.253425581781,27.1107,6006267189.0,日换手率达到20%的前5只证券,3.27510917,5.24017467,10.04366812,-5.13100437
63,000759,中百集团,2025-01-10,西藏自治区资金卖出，成功率12.14%,8.88,-10.0304,22067771.48,131911186.97,109843415.49,241754602.46,1357493782.0,1.625625971376,17.808892067544,22.7176,5822669502.0,日跌幅偏离值达到7%的前5只证券,3.15315315,6.53153153,11.48648649,-2.81531532
64,000759,中百集团,2025-01-09,西藏自治区资金卖出，成功率18.42%,9.87,-10.0273,-22243790.67,143326066.97,165569857.64,308895924.61,2085316646.0,-1.066686477215,14.812902644906,31.187,6471818466.75,日跌幅偏离值达到7%的前5只证券,-10.03039514,-7.1935157,7.39614995,-13.37386018
65,000759,中百集团,2025-01-08,主力做T，成功率30.59%,10.97,4.5758,-110270034.67,270517562.52,380787597.19,651305159.71,2734255949.0,-4.032908283891,23.820197225801,39.4223,7193095094.25,日振幅值达到15%的前5只证券,-10.02734731,-19.05195989,-12.12397448,-16.40838651
66,000759,中百集团,2025-01-08,主力做T，成功率30.59%,10.97,4.5758,-110270034.67,270517562.52,380787597.19,651305159.71,2734255949.0,-4.032908283891,23.820197225801,39.4223,7193095094.25,日换手率达到20%的前5只证券,-10.02734731,-19.05195989,-12.12397448,-16.40838651
67,000759,中百集团,2025-01-07,主力做T，成功率5.96%,10.49,-10.0343,-71505567.4,241510411.32,313015978.72,554526390.04,3901651463.0,-1.832700026594,14.212607028041,30.3793,6878356202.25,连续三个交易日内，跌幅偏离值累计达到20%的证券,4.57578646,-5.91039085,-9.81887512,-2.85986654
68,000759,中百集团,2025-01-07,主力做T，成功率31.74%,10.49,-10.0343,-48061763.63,161442911.31,209504674.94,370947586.25,2097852027.0,-2.290998745928,17.682256969309,30.3793,6878356202.25,日跌幅偏离值达到7%的前5只证券,4.57578646,-5.91039085,-9.81887512,-2.85986654
69,000759,中百集团,2025-01-06,主力做T，成功率26.26%,11.66,-9.9614,-104019575.86,109841188.52,213860764.38,323701952.9,1803799437.0,-5.766692999583,17.945562364648,23.2454,7645532251.5,日跌幅偏离值达到7%的前5只证券,-10.03430532,-5.91766724,-21.44082333,-13.55060034
70,000759,中百集团,2025-01-03,1家机构卖出，成功率37.32%,12.95,-10.0069,4403965.15999997,346228264.26,341824299.1,688052563.36,3892369741.0,0.113143546298,17.676957975304,42.7422,8491393023.75,日振幅值达到15%的前5只证券,-9.96138996,-18.996139,-31.42857143,-23.55212355
71,000759,中百集团,2025-01-03,1家机构卖出，成功率37.32%,12.95,-10.0069,4403965.15999997,346228264.26,341824299.1,688052563.36,3892369741.0,0.113143546298,17.676957975304,42.7422,8491393023.75,日换手率达到20%的前5只证券,-9.96138996,-18.996139,-31.42857143,-23.55212355
72,000759,中百集团,2025-01-03,1家机构卖出，成功率37.32%,12.95,-10.0069,4403965.15999997,346228264.26,341824299.1,688052563.36,3892369741.0,0.113143546298,17.676957975304,42.7422,8491393023.75,日跌幅偏离值达到7%的前5只证券,-9.96138996,-18.996139,-31.42857143,-23.55212355
73,000759,中百集团,2025-01-02,普通席位买入，成功率42.55%,14.39,10.0153,-47286703.45,167522331.75,214809035.2,382331366.95,1775926946.0,-2.662649134105,21.528552613673,19.2036,9435609699.75,日涨幅偏离值达到7%的前5只证券,-10.00694927,-18.97150799,-31.41070188,-26.33773454
74,000759,中百集团,2025-01-02,1家机构买入，成功率19.07%,14.39,10.0153,-151510561.23,301547029.85,453057591.08,754604620.93,4986002452.0,-3.038718145219,15.134461488829,19.2036,9435609699.75,连续三个交易日内，涨幅偏离值累计达到20%的证券,-10.00694927,-18.97150799,-31.41070188,-26.33773454
75,000785,居然智家,2025-01-03,普通席位买入，成功率28.79%,4.17,10.0264,34091301.74,255150669.03,221059367.29,476210036.32,1949125226.0,1.749056514443,24.431987743408,8.306,24697934999.79,日振幅值达到15%的前5只证券,-4.07673861,-3.35731415,-12.94964029,-17.98561151
76,000785,居然智家,2025-01-03,主力做T，成功率29.07%,4.17,10.0264,-35417242.76,294471692.02,329888934.78,624360626.8,2958743974.0,-1.197036413804,21.102218789006,8.306,24697934999.79,连续三个交易日内，涨幅偏离值累计达到20%的证券,-4.07673861,-3.35731415,-12.94964029,-17.98561151
77,000785,居然智家,2025-01-03,普通席位买入，成功率28.79%,4.17,10.0264,34091301.74,255150669.03,221059367.29,476210036.32,1949125226.0,1.749056514443,24.431987743408,8.306,24697934999.79,日涨幅偏离值达到7%的前5只证券,-4.07673861,-3.35731415,-12.94964029,-17.98561151
78,000795,英洛华,2025-01-15,主力做T，成功率26.85%,13.01,9.9746,92767763.75,337002963.17,244235199.42,581238162.59,3476834216.0,2.668167591169,16.717454053898,24.6189,14749230180.03,日涨幅偏离值达到7%的前5只证券,-4.8424289,-7.30207533,-12.52882398,-5.22674865
79,000820,神雾节能,2025-01-10,1家机构卖出，成功率37.19%,3.54,-8.9974,-13387426.77,9785181.0,23172607.77,32957788.77,176684437.0,-7.577026588935,18.653475840659,15.7446,1033969922.46,日振幅值达到15%的前5只证券,9.88700565,16.10169492,8.47457627,-5.93220339
80,000820,神雾节能,2025-01-09,1家机构买入，成功率32.44%,3.89,9.887,9943440.65,30758836.83,20815396.18,51574233.01,204046196.0,4.873132087206,25.275763048285,12.1343,1136198587.11,连续三个交易日内，涨幅偏离值累计达到20%的证券,-8.99742931,0.0,-2.8277635,-6.16966581
81,000833,粤桂股份,2025-01-20,1家机构买入，成功率23.97%,12.94,10.034,74813290.4,249794268.41,174980978.01,424775246.42,1910637715.0,3.915618843523,22.232118788674,34.3289,5870904216.44,日涨幅偏离值达到7%的前5只证券,-4.09582689,-10.1236476,-15.37867079,-5.7187017
82,000833,粤桂股份,2025-01-20,1家机构买入，成功率23.97%,12.94,10.034,74813290.4,249794268.41,174980978.01,424775246.42,1910637715.0,3.915618843523,22.232118788674,34.3289,5870904216.44,日换手率达到20%的前5只证券,-4.09582689,-10.1236476,-15.37867079,-5.7187017
83,000837,秦川机床,2025-01-22,1家机构买入，成功率37.38%,10.47,9.979,68227947.98,147388046.0,79160098.02,226548144.02,654290284.0,10.427779480828,34.625020355644,6.4171,10547512938.39,日涨幅偏离值达到7%的前5只证券,-2.10124164,-1.91021968,3.05635148,1.33715377
84,000852,石化机械,2025-01-09,1家机构卖出，成功率46.41%,7.06,-7.4705,20000712.78,91945850.08,71945137.3,163890987.38,768112218.0,2.603879005086,21.336854633915,11.1811,6643469735.74,日跌幅偏离值达到7%的前5只证券,-7.22379603,-10.62322946,-9.34844193,-9.63172805
85,000852,石化机械,2025-01-03,2家机构买入，成功率39.26%,7.48,10.0,27315603.71,169916377.23,142600773.52,312517150.75,1674004531.0,1.631752077378,18.668835416073,9.2466,7038690314.92,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.60427807,3.34224599,-12.43315508,-15.64171123
86,000856,冀东装备,2025-01-27,普通席位买入，成功率41.85%,12.73,10.0259,41233599.98,127129853.98,85896254.0,213026107.98,1254523557.0,3.286793599843,16.980638330094,45.6938,2889710000.0,日换手率达到20%的前5只证券,-9.97643362,-11.78318932,-9.66221524,9.50510605
87,000856,冀东装备,2025-01-27,普通席位买入，成功率41.85%,12.73,10.0259,41233599.98,127129853.98,85896254.0,213026107.98,1254523557.0,3.286793599843,16.980638330094,45.6938,2889710000.0,日振幅值达到15%的前5只证券,-9.97643362,-11.78318932,-9.66221524,9.50510605
88,000856,冀东装备,2025-01-27,普通席位买入，成功率41.85%,12.73,10.0259,66953599.41,155697647.98,88744048.57,244441696.55,1477227610.0,4.532382075502,16.547327906361,45.6938,2889710000.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,-9.97643362,-11.78318932,-9.66221524,9.50510605
89,000856,冀东装备,2025-01-27,普通席位买入，成功率41.85%,12.73,10.0259,41233599.98,127129853.98,85896254.0,213026107.98,1254523557.0,3.286793599843,16.980638330094,45.6938,2889710000.0,日涨幅偏离值达到7%的前5只证券,-9.97643362,-11.78318932,-9.66221524,9.50510605
90,000856,冀东装备,2025-01-23,普通席位买入，成功率27.41%,10.52,10.0418,-85360109.49,76123240.4,161483349.89,237606590.29,1257210503.0,-6.789643364123,18.899507260162,34.8139,2388040000.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,9.98098859,21.00760456,2.56653992,9.50570342
91,000856,冀东装备,2025-01-23,买一主买，成功率35.22%,10.52,10.0418,-14831122.53,64519289.18,79350411.71,143869700.89,791391699.0,-1.874055862443,18.179329031603,34.8139,2388040000.0,日换手率达到20%的前5只证券,9.98098859,21.00760456,2.56653992,9.50570342
92,000856,冀东装备,2025-01-21,福建资金买入，成功率33.57%,8.69,10.0,6659320.45,47478127.45,40818807.0,88296934.45,252426699.0,2.638120482651,34.979237457762,5.4585,1972630000.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.01150748,21.05868815,31.87571922,45.56962025
